url,Value_1,Number,Addr,Email,website
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Pushkar Singh Kera",240076,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"R. B. Agrawal",222165,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Radheshyam Saxena",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Radhey Krishana Ojha",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rajendra Singh Fulara",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rajeev Malhotra",222053,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rajeev Goyal",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rajeev Kumar",281681,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rajeev Malhotra",222053,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rajender Sharma",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rajender Tondan",254275,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rajender Kumar Garg",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rajender Kumar Goyal",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rajender Kumar Joshi",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rajender Lohani",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rajender Rekuni",281210,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rejendra Singh",252094,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rajendra Dhanik",220341,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rakesh Goyal",250918,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rakesh Kumar Joshi",239323,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Ram Kumar Tamta",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Ram Singh Basera",240232,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Ram Singh Sambal",238666,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Raman Budhlakoti",221345,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Ramesh Chandra joshi",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Ramesh Chandra Pandey",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Ramesh Singh Rautela",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Ramesh Singh Shukla",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rashid Khan",250751,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Rashid Uha",250751,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Ravi Shah",231122,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Ravindra Bisht",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Ravindra Pal Singh",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Virendra Singh Adhikari",232009,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Virendra Singh Kandari",244874,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Vishwa Prakash Joshi",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Vivek Kumar Yadav",244383,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Yashwant Singh Bisht",220454,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Yogendra Singh Chuphal",224676,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Yogesh Devel",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Pooran Singh Rawat",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Prakash Chandra Joshi",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Prem Ballabh Sharma",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Umesh Chandra Joshi",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Umesh Chandra Tewari",235066,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Veer Singh",242101,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Vijay Bhatt",220537,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Satpal Singh",9837458619,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Meharban Singh Koranga",9412085213,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Sunil Kumar Karnatak","263879 9412403390",NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Advocate,"Kishan Singh Karki",9412036139,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Agrawal Traders",251306,":: Khan Chand Market",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Amit Agencies",250496,":: Bareilly Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Ashish Agencies",228801,":: Sadar Bazar",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Ashok Agencies",NULL,":: Kaladhungi Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Audio Vision Sales",NULL,":: Mukhani",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Bhagwati Agencies","223146, 281222",":: Kapil Colony, Mukhani",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Bhasin Agencies",NULL,":: Patel Chowck",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Bhawani Agencies",NULL,":: Barielly Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Dabar Showroom",254770,":: Railway Bazar",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Din Dyal Radhe Syam",252660,":: Mangal Paraw",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Epic Interprises",NULL,":: Kaladhungi Raod",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Gokul Chandra Agrawal",220231,":: Rampur Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Gupta eate Agencies",NULL,":: Rampur Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Ishwar Agencies",235771,":: Rampur Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Kamoun Gas & Stove Service",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Kumar Interprises",221228,":: Kaladhungi Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Kumoun Agencies",NULL,":: Kaladhungi Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Lala Devki Nandan Nand Kishor","254174, 250074",":: Nainital Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Laxmi Pharmaciecal Agencies",222916,":: Raman Market",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Mahaveer Interprises",25078,":: Rampur Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Meghshayam Agencies",227310,":: Rampur Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Moon Agencies",228647,":: Rampur Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Moon Trading Co.",250781,":: Banbhul pura",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Naveen Agencies",224358,":: Kaladhuni Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"P. B. Khanna Traders",250805,":: Sadar Bazar",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Parwatiya Agencies",225580,":: Kaladhungi Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Pramod Agencies",250855,":: Meera Marg",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"PunjabGoods Forwarding Agencies",220178,":: Rampur Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Real Interprises",NULL,":: Kaladhungi Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"S. K. Agencies",252524,":: Bareilly Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"S. K. Harvest Agencies",NULL,":: Laxmi Hal, Rampur Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Sagar Interprises",250365,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Samta Agencies",222813,":: Mukhani",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Shubh Labh Agencies",282078,":: Rampur Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Shubham Collection",267575,":: Laxmi Hall, Rampur Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Uttaranchal Ayuravedic Agencies",NULL,":: Kaladhungi Raod",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Vikrol Agencies",252876,":: Barielly Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Agency,"Goldi Show Room",250074,":: Patel Chok, Nainital Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Air+Hostess+%26Pilot+Training,"Institute of Aviation Studies",05946-281369,":: Pilikothi",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Automobiles,"Allance Auto",228490,":: Guru Nanak Market",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Automobiles,"Bhagwati Auto Traders",221151,":: Guru Nanak Market",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Automobiles,"Basant Auto Dealers",NULL,":: Kaladhungi Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Automobiles,"Das Auto Spreas",251169,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Automobiles,"Gunjan Auto",224129,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Automobiles,"Guru Nanak Auto Spares Parts",225508,":: Tikonia Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Automobiles,"Haldwani Auto Traders",250265,":: Tikonia Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Automobiles,"India Moters",9412327140,":: Kaladhungi Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Automobiles,"India Auto Parts",NULL,":: Tikonia Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Automobiles,"Jay Auto Mobiles",9412327140,":: Tikonia Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Automobiles,"Manjeet & Bros.",9837110380,":: Tikonia Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Automobiles,"New Anand Auto Spares",9837431247,":: Tikonia Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Automobiles,"New Neeraj Auto Center",9837445963,":: Tikonia Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Automobiles,"Raja Moters",250282,":: Tikonia Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Automobiles,"Ravi Scooter Center",9412039636,":: Tikonia Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Automobiles,"Sunder Motors",250292,":: Tikonia Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Banks,"Nainital Co-Operative Bank",NULL,":: Nawabi Road Haldwani",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Banks,"Nainital Sahkari Bank",NULL,NULL,NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Banks,"Nainital Almora Shetriya Grameen Bank",255118,":: Bareilly Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Banks,"ICICI Bank",05946-282601,":: 3/401 Tikonia, Nainital Road",www.icicibank.com,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Banks,"Allahabad Bank",05946-220960,":: Bhotiaparav, Nainital road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Banks,"Punjab & Sind Bank",05946-220516,":: Near police station",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Banks,"State Bank of India","05946-280096, 280094",":: Near Nagar Palika",NULL,www.sbi.co.in
http://www.haldwani.co.in/haldwani-directory.php?cat=Banks,"The Nainital Bank",05946-263008,":: Kaladhungi Road",NULL,www.nainitalbank.co.in
http://www.haldwani.co.in/haldwani-directory.php?cat=Banks,"The Nainital Bank",250201,":: Railways Bazar",NULL,www.nainitalbank.co.in
http://www.haldwani.co.in/haldwani-directory.php?cat=Banks,"The Nainital Bank",NULL,":: Ranibagh",NULL,www.nainitalbank.co.in
http://www.haldwani.co.in/haldwani-directory.php?cat=Banks,"The Nainital Bank",234440,":: Dewal Chour, Manpur west",NULL,www.nainitalbank.co.in
http://www.haldwani.co.in/haldwani-directory.php?cat=Banks,"The Nainital Bank",225769,":: MBPG Campus, Nainital Road",NULL,www.nainitalbank.co.in
http://www.haldwani.co.in/haldwani-directory.php?cat=Banks,"Almora Urban Co-opreative Bank",255144,":: Aish Baag kaladhungi road",NULL,www.almoraurbanbank.com
http://www.haldwani.co.in/haldwani-directory.php?cat=Banks,"Almora Urban Co-opreative Bank",NULL,":: Meera Marg",NULL,www.almoraurbanbank.com
http://www.haldwani.co.in/haldwani-directory.php?cat=Banks,"Almora Urban Co-opreative Bank",NULL,":: Nai Mandi, Bareilly Road",NULL,www.almoraurbanbank.com
http://www.haldwani.co.in/haldwani-directory.php?cat=Beauty+Parlour+,"Shringar Beauty Parlour",NULL,":: Malli Kathgodam",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Beauty+Parlour+,"Richy Beauty Parlour",NULL,":: Kaladhungi Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Beauty+Parlour+,"Payal Beauty Parlour",NULL,":: Kushumkhera",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Beauty+Parlour+,"Noory Beauty Parlours",NULL,":: Kaladhungi Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Beauty+Parlour+,"Nisha Beauty Parlour",NULL,":: Kaladhungi Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Beauty+Parlour+,"Naini Beauty Parlour",NULL,":: Kaladhungi Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Beauty+Parlour+,"Latest Gents Parlour",NULL,":: Kaladhungi Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Beauty+Parlour+,"Kamal Herbel Beauty Parlour",NULL,":: Kaladhungi Road",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Beauty+Parlour+,"Juliyot Beauty Parlour",NULL,":: Sitapur Eye Hospital",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Beauty+Parlour+,"Juliyot Beauty Parlor",NULL,":: Mangal Paraw",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Beauty+Parlour+,"Julie Beauty Parlour",251031,":: Naya Bazar",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Beauty+Parlour+,"Dav Beauty Parlour",NULL,":: Naya Bazar",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Chartered+Accountants,"Shree Anuj Maheshwani",9412084008,":: Mishra Kunj, Kathgodam",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Chartered+Accountants,"Shree Ajay Rawat",NULL,":: Durga City Centre, Bhotia Paraw",NULL,NULL
http://www.haldwani.co.in/haldwani-directory.php?cat=Chartered+Accountants,"Shree Mukesh Kumar Goel",283200,":: Teri Pulia, Nainital Road",NULL,NULL
